"CGrade","LoanTerm","LoanStatus","BorrowerAPR","InterestRate","LenderYield","EmpStatus","EmpStatusDuration","HomeOwner","AvailablecardCredit","IncomeRange","DeclaredMonthlyIncome","MonthlyLoanPayment"
"A",36,"Completed",0.14923,0.135,0.125,"Full-time",170,FALSE,115174,"$50,000-74,999",5833.333333,339.35
"A",36,"Chargedoff",0.18302,0.1685,0.1585,"Full-time",203,FALSE,114713,"$50,000-74,999",4250,195.68
"A",36,"Completed",0.1085,0.0946,0.0846,"Full-time",197,TRUE,114084,"$50,000-74,999",5000,64.03
"A",36,"Chargedoff",0.13956,0.1325,0.125,"Full-time",5,TRUE,113055,"$75,000-99,999",6666.666667,845.36
"A",36,"Completed",0.127,0.12,0.115,"Full-time",14,TRUE,112439,"$50,000-74,999",4166.666667,166.07
"A",36,"Completed",0.10265,0.0888,0.0788,"Full-time",179,TRUE,110883,"$50,000-74,999",4333.333333,142.85
"A",36,"Completed",0.16557,0.1584,0.1534,"Full-time",62,TRUE,110695,"$75,000-99,999",7429.166667,876.95
"A",36,"Completed",0.1181,0.1006,0.0956,"Full-time",1,TRUE,110560,"$1-24,999",1762,32.3
"A",36,"Completed",0.09173,0.0745,0.0645,"Full-time",69,TRUE,110272,"$50,000-74,999",5416.666667,31.08
"A",36,"Completed",0.19624,0.1816,0.1716,"Full-time",190,FALSE,110250,"$100,000+",8333.333333,543.49
"A",36,"Defaulted",0.1019,0.095,0.0875,"Full-time",68,TRUE,106264,"$75,000-99,999",7833.333333,208.21
"A",36,"Completed",0.10336,0.0895,0.0795,"Full-time",91,TRUE,105720,"$100,000+",8666.666667,127.11
"A",36,"Completed",0.09277,0.079,0.069,"Full-time",76,TRUE,99007,"$50,000-74,999",4583.333333,46.94
"A",36,"Chargedoff",0.15462,0.1475,0.1425,"Self-employed",37,FALSE,97929,"$100,000+",9202.5,863.58
"A",36,"Completed",0.1255,0.1185,0.1085,"Full-time",37,TRUE,96703,"$75,000-99,999",7000,248.57
"A",36,"Defaulted",0.17647,0.162,0.152,"Full-time",6,TRUE,96600,"$0 ",0,370.19
"A",36,"Completed",0.11193,0.0945,0.0845,"Full-time",139,FALSE,96111,"$50,000-74,999",5000,32.01
"A",36,"Completed",0.18403,0.1695,0.1595,"Full-time",75,TRUE,94885,"$50,000-74,999",4416.666667,524.58
"A",36,"Completed",0.10336,0.0895,0.0795,"Full-time",61,TRUE,94696,"$50,000-74,999",5083.333333,47.66
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",268,TRUE,94674,"$75,000-99,999",6375,159
"A",36,"Chargedoff",0.15964,0.1525,0.145,"Full-time",18,FALSE,92491,"$50,000-74,999",4166.666667,869.7
"A",36,"Completed",0.14117,0.127,0.117,"Full-time",265,TRUE,91613,"$25,000-49,999",4130.416667,335.5
"A",36,"Chargedoff",0.14156,0.1345,0.1295,"Self-employed",45,TRUE,91140,"$50,000-74,999",5732.5,406.93
"A",36,"Chargedoff",0.31321,0.2975,0.2875,"Full-time",108,TRUE,90894,"$0 ",0,1057.87
"A",36,"Completed",0.08213,0.065,0.055,"Full-time",15,FALSE,90346,"$100,000+",11299.58333,30.65
"A",36,"Completed",0.19936,0.1847,0.1747,"Full-time",102,TRUE,88259,"$100,000+",10500,540.16
"A",36,"Defaulted",0.127,0.12,0.115,"Self-employed",75,FALSE,86936,"$75,000-99,999",6666.666667,166.07
"A",36,"Completed",0.11344,0.0995,0.0895,"Full-time",90,TRUE,86538,"$100,000+",8333.333333,192.39
"A",36,"Completed",0.15932,0.145,0.135,"Full-time",258,TRUE,83426,"$100,000+",41666.66667,798.16
"A",36,"Completed",0.13411,0.12,0.11,"Full-time",34,FALSE,82923,"$75,000-99,999",6250,265.71
"A",36,"Defaulted",0.16235,0.148,0.138,"Full-time",120,TRUE,81279,"$75,000-99,999",6875,345.67
"A",36,"Completed",0.09223,0.075,0.07,"Full-time",0,TRUE,81259,"$50,000-74,999",6033.583333,31.11
"A",36,"Chargedoff",0.18877,0.1742,0.1642,"Self-employed",64,TRUE,80668,"$100,000+",8416.666667,537.93
"A",36,"Completed",0.08294,0.0658,0.0558,"Retired",277,FALSE,79272,"$75,000-99,999",6250,30.69
"A",36,"Completed",0.20471,0.19,0.18,"Full-time",281,FALSE,79146,"$100,000+",26250,916.4
"A",36,"Chargedoff",0.16988,0.1627,0.1527,"Full-time",285,TRUE,78534,"$100,000+",9333.333333,705.81
"A",36,"Completed",0.12201,0.108,0.098,"Full-time",119,FALSE,77958,"$50,000-74,999",4166.666667,163.22
"A",36,"Completed",0.11898,0.105,0.095,"Full-time",157,TRUE,77776,"$25,000-49,999",2916.666667,162.51
"A",36,"Completed",0.21188,0.1971,0.1871,"Full-time",271,TRUE,77207,"$25,000-49,999",4130.416667,222.1
"A",36,"Completed",0.09728,0.08,0.075,"Full-time",74,TRUE,75723,"$100,000+",20833.33333,31.34
"A",36,"Completed",0.17445,0.16,0.15,"Full-time",357,FALSE,74535,"$25,000-49,999",3526.5,130.08
"A",36,"Completed",0.17152,0.1571,0.1471,"Self-employed",21,TRUE,73570,"$100,000+",9166.666667,350.14
"A",36,"Completed",0.09579,0.082,0.072,"Full-time",73,TRUE,72986,"$100,000+",13333.33333,157.14
"A",36,"Chargedoff",0.23186,0.2244,0.2194,"Full-time",235,TRUE,72892,"$1-24,999",0.083333,960.46
"A",36,"Completed",0.16224,0.1479,0.1379,"Full-time",117,TRUE,71742,"$100,000+",27083.33333,622.13
"A",36,"Chargedoff",0.13705,0.13,0.12,"Full-time",61,TRUE,71576,"$50,000-74,999",4174.583333,842.35
"A",36,"Completed",0.11897,0.112,0.102,"Full-time",263,TRUE,71189,"$50,000-74,999",6000,164.17
"A",36,"Completed",0.09479,0.081,0.071,"Full-time",113,TRUE,71060,"$25,000-49,999",2256,75.32
"A",36,"Completed",0.08511,0.0714,0.0614,"Full-time",29,FALSE,70939,"$100,000+",10416.66667,309.41
"A",36,"Completed",0.08935,0.0825,0.0725,"Full-time",57,TRUE,70755,"$75,000-99,999",6612.666667,172.99
"A",36,"Completed",0.15428,0.14,0.13,"Full-time",60,TRUE,70357,"$100,000+",13333.33333,820.26
"A",36,"Chargedoff",0.18443,0.1699,0.1599,"Full-time",3,TRUE,70303,"$50,000-74,999",5166.666667,534.72
"A",36,"Completed",0.13373,0.1267,0.1167,"Full-time",28,TRUE,70267,"$25,000-49,999",2875.083333,503.03
"A",36,"Completed",0.09678,0.0795,0.0695,"Full-time",57,FALSE,69922,"$75,000-99,999",7333.333333,31.31
"A",36,"Completed",0.13411,0.12,0.11,"Full-time",73,TRUE,69885,"$50,000-74,999",5320.666667,199.29
"A",36,"Completed",0.13411,0.12,0.11,"Self-employed",98,TRUE,69843,"$100,000+",9166.666667,145.48
"A",36,"Completed",0.11394,0.1,0.09,"Full-time",56,TRUE,69792,"$25,000-49,999",3333.333333,187.83
"A",36,"Completed",0.17445,0.16,0.15,"Full-time",2,TRUE,69758,"$100,000+",13333.33333,863.87
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",6,TRUE,69725,"$100,000+",8750,127.2
"A",36,"Completed",0.08985,0.083,0.078,"Full-time",1,FALSE,69393,"$50,000-74,999",5416.666667,81.83
"A",36,"Chargedoff",0.14419,0.13,0.12,"Full-time",33,TRUE,67657,"$100,000+",9691.666667,505.41
"A",36,"Completed",0.14621,0.132,0.122,"Full-time",23,TRUE,66470,"$100,000+",18750,675.81
"A",36,"Completed",0.11485,0.1079,0.1029,"Full-time",107,TRUE,66123,"$50,000-74,999",5375.083333,326.39
"A",36,"Completed",0.11991,0.1024,0.0924,"Full-time",82,TRUE,65978,"$75,000-99,999",6666.666667,32.38
"A",36,"Defaulted",0.34815,0.3321,0.3221,"Full-time",12,TRUE,65289,"$0 ",0,1039.38
"A",36,"Chargedoff",0.20373,0.1964,0.1864,"Full-time",303,TRUE,65227,"$100,000+",39500,924.51
"A",36,"Completed",0.11787,0.1039,0.0939,"Full-time",4,TRUE,65142,"$75,000-99,999",7750,97.35
"A",36,"Completed",0.10739,0.0935,0.0835,"Full-time",131,TRUE,64836,"$100,000+",9166.666667,95.89
"A",36,"Completed",0.13202,0.125,0.115,"Full-time",1,TRUE,64794,"$75,000-99,999",6250,669.07
"A",36,"Completed",0.08642,0.0727,0.0627,"Full-time",2,FALSE,64609,"$75,000-99,999",7250,38.75
"A",36,"Completed",0.10652,0.099,0.084,"Full-time",60,FALSE,64354,"$25,000-49,999",3333.333333,74.11
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",240,TRUE,63975,"$50,000-74,999",5000,127.2
"A",36,"Completed",0.09678,0.0899,0.0849,"Full-time",93,FALSE,63933,"$75,000-99,999",7500,158.98
"A",36,"Completed",0.15378,0.1419,0.1319,"Full-time",46,TRUE,63594,"$50,000-74,999",4166.666667,514.05
"A",36,"Completed",0.09688,0.09,0.08,"Full-time",65,TRUE,63410,"$75,000-99,999",6333.333333,114.48
"A",36,"Chargedoff",0.16941,0.155,0.145,"Full-time",82,TRUE,63248,"$75,000-99,999",7333.333333,244.37
"A",36,"Completed",0.13421,0.1201,0.1101,"Self-employed",64,TRUE,63014,"$75,000-99,999",7500,332.19
"A",36,"Completed",0.08995,0.0831,0.0731,"Full-time",253,TRUE,62543,"$100,000+",15416.66667,78.7
"A",36,"Chargedoff",0.14558,0.1385,0.1235,"Part-time",4,TRUE,61700,"$25,000-49,999",2500,436.54
"A",36,"Defaulted",0.12402,0.11,0.1,"Full-time",18,FALSE,61608,"$25,000-49,999",4125,261.91
"A",36,"Completed",0.11394,0.1,0.09,"Full-time",107,TRUE,61133,"$50,000-74,999",5000,225.87
"A",36,"Completed",0.12907,0.115,0.105,"Full-time",14,TRUE,60889,"$100,000+",8333.333333,329.99
"A",36,"Chargedoff",0.09378,0.08,0.07,"Full-time",34,FALSE,60810,"$25,000-49,999",4000,94.01
"A",36,"Completed",0.10386,0.09,0.08,"Full-time",24,TRUE,59962,"$100,000+",8333.333333,79.5
"A",36,"Completed",0.08847,0.0799,0.0749,"Full-time",59,TRUE,59783,"$75,000-99,999",6333.333333,62.66
"A",36,"Completed",0.10739,0.09,0.085,"Full-time",329,TRUE,59766,"$50,000-74,999",5000,31.8
"A",36,"Completed",0.08501,0.0713,0.0613,"Full-time",11,TRUE,59547,"$50,000-74,999",4833.333333,92.81
"A",36,"Completed",0.10542,0.0985,0.0885,"Full-time",1,FALSE,59428,"$50,000-74,999",5416.666667,151.33
"A",36,"Completed",0.10692,0.1,0.095,"Full-time",6,FALSE,59032,"$75,000-99,999",7083.333333,158.77
"A",36,"Completed",0.12181,0.1078,0.0978,"Full-time",152,TRUE,58874,"$25,000-49,999",2500,81.59
"A",36,"Defaulted",0.13202,0.125,0.115,"Full-time",84,TRUE,58675,"$100,000+",10833.33333,802.89
"A",36,"Completed",0.18454,0.17,0.16,"Self-employed",11,TRUE,58497,"$25,000-49,999",2600,499.14
"A",36,"Completed",0.10491,0.098,0.093,"Full-time",9,FALSE,58339,"$50,000-74,999",4833.333333,289.56
"A",36,"Chargedoff",0.24406,0.229,0.219,"Self-employed",7,TRUE,57945,"$100,000+",20833.33333,386.58
"A",36,"Completed",0.11394,0.1,0.09,"Full-time",91,FALSE,57932,"$1-24,999",2062.583333,48.4
"A",36,"Defaulted",0.17445,0.16,0.15,"Self-employed",26,TRUE,57758,"$100,000+",10833.33333,492.2
"A",36,"Completed",0.11696,0.11,0.105,"Full-time",5,TRUE,57063,"$50,000-74,999",5416.666667,327.39
"A",36,"Completed",0.09688,0.09,0.08,"Full-time",89,TRUE,57000,"$75,000-99,999",7916.666667,79.5
"A",36,"Completed",0.11767,0.1037,0.0937,"Part-time",67,FALSE,56438,"$1-24,999",1000,129.76
"A",36,"Completed",0.18625,0.1717,0.1617,"Full-time",8,TRUE,56040,"$75,000-99,999",6250,893.43
"A",36,"Completed",0.1009,0.094,0.089,"Full-time",50,TRUE,55818,"$75,000-99,999",7250,191.92
"A",36,"Completed",0.11394,0.1,0.09,"Full-time",148,TRUE,55676,"$25,000-49,999",3333.333333,64.53
"A",36,"Completed",0.12201,0.108,0.098,"Full-time",39,TRUE,55660,"$25,000-49,999",2583.333333,195.86
"A",36,"Completed",0.10692,0.1,0.095,"Full-time",39,TRUE,55614,"$100,000+",10434.75,322.67
"A",36,"Chargedoff",0.13814,0.124,0.114,"Full-time",2,FALSE,55453,"$75,000-99,999",6666.666667,501.05
"A",36,"Completed",0.09479,0.081,0.071,"Full-time",92,TRUE,54920,"$50,000-74,999",4490.916667,156.91
"A",36,"Completed",0.08718,0.07,0.065,"Full-time",22,FALSE,54764,"$50,000-74,999",6000,30.88
"A",36,"Completed",0.1019,0.095,0.085,"Full-time",3,TRUE,54546,"$75,000-99,999",7500,320.33
"A",36,"Completed",0.22469,0.2098,0.1898,"Full-time",96,TRUE,54412,"$75,000-99,999",7083.333333,918.58
"A",36,"Chargedoff",0.14709,0.14,0.13,"Full-time",65,TRUE,54368,"$100,000+",14583.33333,546.84
"A",36,"Completed",0.11384,0.0999,0.0899,"Full-time",16,TRUE,54327,"$75,000-99,999",7916.666667,241.97
"A",36,"Completed",0.10682,0.0999,0.0949,"Full-time",19,TRUE,54292,"$50,000-74,999",5833.333333,161.28
"A",36,"Completed",0.16033,0.146,0.136,"Full-time",4,TRUE,54163,"$50,000-74,999",4820,689.22
"A",36,"Completed",0.09304,0.0758,0.0658,"Full-time",3,FALSE,54128,"$50,000-74,999",4375,31.14
"A",36,"Completed",0.11898,0.105,0.095,"Full-time",56,FALSE,53901,"$50,000-74,999",4250,162.51
"A",36,"Defaulted",0.14117,0.127,0.117,"Self-employed",24,TRUE,53891,"$75,000-99,999",6250,251.62
"A",36,"Completed",0.127,0.12,0.115,"Full-time",472,TRUE,53879,"$75,000-99,999",7083.333333,571.29
"A",36,"Completed",0.10124,0.0874,0.0774,"Full-time",1,FALSE,53840,"$100,000+",8750,130.68
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",80,FALSE,53644,"$75,000-99,999",7083.333333,81.09
"A",36,"Completed",0.09076,0.0839,0.0789,"Full-time",49,FALSE,53076,"$50,000-74,999",4250,94.55
"A",36,"Completed",0.11184,0.1049,0.0999,"Full-time",45,TRUE,53044,"$75,000-99,999",6583.333333,97.53
"A",36,"Completed",0.28595,0.2705,0.2605,"Part-time",0,TRUE,52523,"$75,000-99,999",7000,510.65
"A",36,"Completed",0.09227,0.0785,0.0685,"Full-time",13,FALSE,52469,"$25,000-49,999",4000,46.9
"A",36,"Chargedoff",0.15452,0.1474,0.1424,"Self-employed",156,TRUE,52133,"$75,000-99,999",7366.666667,863.45
"A",36,"Completed",0.10702,0.1001,0.0951,"Full-time",69,FALSE,52043,"$75,000-99,999",6666.666667,484.08
"A",36,"Chargedoff",0.15713,0.15,0.145,"Full-time",0,TRUE,51927,"$75,000-99,999",7788,866.63
"A",36,"Completed",0.09387,0.087,0.077,"Full-time",54,TRUE,51887,"$75,000-99,999",6666.666667,94.98
"A",36,"Completed",0.09479,0.081,0.071,"Full-time",25,TRUE,51808,"$75,000-99,999",7250,156.91
"A",36,"Chargedoff",0.25365,0.2385,0.2285,"Self-employed",5,TRUE,51633,"$75,000-99,999",7500,587.31
"A",36,"Completed",0.11132,0.0974,0.0874,"Full-time",54,TRUE,51565,"$50,000-74,999",4625,157.51
"A",36,"Completed",0.15781,0.1435,0.1335,"Full-time",150,FALSE,51524,"$50,000-74,999",5708.333333,291.96
"A",36,"Chargedoff",0.20673,0.192,0.182,"Full-time",63,TRUE,51523,"$100,000+",9416.666667,918.93
"A",36,"Defaulted",0.22943,0.2145,0.2045,"Full-time",147,FALSE,51480,"$75,000-99,999",7356,909.76
"A",36,"Completed",0.10234,0.085,0.08,"Full-time",69,TRUE,51453,"$50,000-74,999",5166.666667,31.57
"A",36,"Chargedoff",0.13423,0.1272,0.1197,"Full-time",1,TRUE,51124,"$25,000-49,999",3416.666667,402.71
"A",36,"Completed",0.09882,0.085,0.075,"Full-time",17,FALSE,51015,"$25,000-49,999",2916.666667,47.35
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",15,FALSE,50724,"$50,000-74,999",5250,190.8
"A",36,"Completed",0.09387,0.087,0.082,"Full-time",247,TRUE,50723,"$50,000-74,999",5916.666667,94.98
"A",36,"Chargedoff",0.14709,0.14,0.13,"Full-time",18,TRUE,50715,"$25,000-49,999",2916.666667,387.92
"A",36,"Completed",0.11295,0.106,0.101,"Full-time",44,TRUE,50574,"$100,000+",12916.66667,325.5
"A",36,"Defaulted",0.20735,0.2,0.195,"Full-time",48,TRUE,50536,"$100,000+",10822.58333,185.82
"A",36,"Completed",0.19644,0.1818,0.1718,"Full-time",105,TRUE,50521,"$50,000-74,999",6000,346.77
"A",36,"Completed",0.13915,0.125,0.115,"Full-time",139,TRUE,50480,"$50,000-74,999",4833.333333,418.17
"A",36,"Completed",0.09688,0.09,0.085,"Full-time",9,TRUE,50440,"$50,000-74,999",5916.666667,159
"A",36,"Completed",0.08658,0.0694,0.0644,"Full-time",116,TRUE,50257,"$100,000+",12500,30.85
"A",36,"Chargedoff",0.36623,0.35,0.34,"Full-time",35,FALSE,50104,"$0 ",0,904.72
"A",36,"Completed",0.17752,0.1594,0.1544,"Self-employed",1,FALSE,49777,"$1-24,999",0.083333,35.13
"A",36,"Completed",0.10285,0.089,0.079,"Full-time",191,TRUE,49723,"$50,000-74,999",5250,158.77
"A",36,"Completed",0.11646,0.1025,0.0925,"Full-time",43,TRUE,49677,"$75,000-99,999",7791.666667,210.5
"A",36,"Completed",0.14207,0.135,0.13,"Full-time",28,FALSE,49663,"$25,000-49,999",3333.333333,492.06
"A",36,"Completed",0.09728,0.08,0.07,"Self-employed",27,FALSE,49536,"$50,000-74,999",5000,31.34
"A",36,"Completed",0.12851,0.1215,0.114,"Self-employed",39,FALSE,49471,"$100,000+",16666.66667,665.72
"A",36,"Completed",0.09267,0.0789,0.0689,"Full-time",99,FALSE,49468,"$25,000-49,999",3166.666667,62.57
"A",36,"Completed",0.13202,0.125,0.115,"Full-time",2,TRUE,49400,"$100,000+",8333.333333,600.29
"A",36,"Completed",0.18786,0.1733,0.1633,"Full-time",7,TRUE,49125,"$100,000+",9583.333333,125.36
"A",36,"Chargedoff",0.09304,0.0758,0.0658,"Full-time",41,TRUE,49066,"$25,000-49,999",3800,31.14
"A",36,"Chargedoff",0.10893,0.102,0.0945,"Full-time",58,TRUE,48715,"$50,000-74,999",5000,262.13
"A",36,"Completed",0.11696,0.11,0.1,"Full-time",233,TRUE,48706,"$100,000+",11666.66667,185.79
"A",36,"Completed",0.12188,0.1149,0.1099,"Self-employed",47,TRUE,48610,"$1-24,999",0.083333,230.8
"A",36,"Completed",0.19462,0.18,0.17,"Full-time",2,TRUE,48374,"$0 ",0,271.14
"A",36,"Chargedoff",0.14746,0.1456,0.1356,"Full-time",27,TRUE,48361,"$100,000+",9000,327.28
"A",36,"Completed",0.14318,0.129,0.119,"Full-time",15,TRUE,48231,"$75,000-99,999",7083.333333,563.1
"A",36,"Defaulted",0.25517,0.24,0.23,"Full-time",89,TRUE,48064,"$75,000-99,999",7041.666667,0
"A",36,"Defaulted",0.14709,0.14,0.13,"Full-time",51,TRUE,48039,"$25,000-49,999",3516.916667,854.44
"A",36,"Completed",0.10943,0.1025,0.0925,"Full-time",79,TRUE,47942,"$25,000-49,999",3333.333333,210.5
"A",36,"Completed",0.10491,0.098,0.088,"Full-time",172,TRUE,47903,"$50,000-74,999",4333.333333,112.61
"A",36,"Defaulted",0.14759,0.1405,0.1305,"Full-time",19,TRUE,47901,"$50,000-74,999",6000,855.05
"A",36,"Completed",0.12503,0.111,0.101,"Full-time",12,FALSE,47862,"$100,000+",8333.333333,459.01
"A",36,"Completed",0.15176,0.1375,0.1275,"Full-time",103,TRUE,47582,"$75,000-99,999",6966.666667,306.51
"A",36,"Defaulted",0.15199,0.1499,0.1399,"Full-time",53,TRUE,47370,"$100,000+",14583.33333,294.61
"A",36,"Defaulted",0.14709,0.14,0.13,"Full-time",96,FALSE,47143,"$25,000-49,999",3750,512.66
"A",36,"Completed",0.11646,0.1025,0.0925,"Self-employed",10,FALSE,46944,"$25,000-49,999",2083.333333,64.77
"A",36,"Completed",0.14117,0.127,0.117,"Full-time",29,FALSE,46866,"$50,000-74,999",4166.666667,268.4
"A",36,"Completed",0.09479,0.081,0.071,"Full-time",51,TRUE,46859,"$50,000-74,999",4358.333333,119.25
"A",36,"Completed",0.11194,0.105,0.095,"Full-time",4,FALSE,46840,"$100,000+",5833.333333,406.28
"A",36,"Chargedoff",0.08684,0.08,0.075,"Full-time",26,TRUE,46758,"$75,000-99,999",6666.666667,78.34
"A",36,"Completed",0.14419,0.13,0.12,"Part-time",8,FALSE,46729,"$1-24,999",1000,134.78
"A",36,"Completed",0.15914,0.152,0.142,"Full-time",78,TRUE,46522,"$25,000-49,999",3583.333333,625.74
"A",36,"Chargedoff",0.10073,0.0869,0.0769,"Full-time",37,FALSE,46195,"$50,000-74,999",4250,215.26
"A",36,"Completed",0.14419,0.13,0.12,"Full-time",176,FALSE,45966,"$25,000-49,999",3641.666667,269.55
"A",36,"Completed",0.09479,0.081,0.071,"Full-time",34,FALSE,45952,"$50,000-74,999",5416.666667,109.84
"A",36,"Completed",0.11344,0.0995,0.0895,"Full-time",19,TRUE,45853,"$100,000+",12500,427.23
"A",36,"Completed",0.16436,0.15,0.14,"Full-time",20,TRUE,45661,"$100,000+",8500,693.31
"A",36,"Completed",0.14903,0.1348,0.1248,"Full-time",187,FALSE,45596,"$1-24,999",2075,220.52
"A",36,"Completed",0.14419,0.13,0.12,"Full-time",45,TRUE,45503,"$100,000+",16500,404.33
"A",36,"Completed",0.18201,0.1675,0.1575,"Full-time",125,TRUE,45374,"$100,000+",10000,710.57
"A",36,"Completed",0.13202,0.125,0.115,"Full-time",24,FALSE,45154,"$75,000-99,999",6666.666667,836.34
"A",36,"Defaulted",0.16717,0.16,0.155,"Self-employed",37,TRUE,45098,"$0 ",0,878.93
"A",36,"Defaulted",0.15276,0.1385,0.1285,"Self-employed",116,TRUE,44810,"$100,000+",21460.58333,205.48
"A",36,"Completed",0.19462,0.18,0.17,"Self-employed",32,TRUE,44789,"$0 ",0,361.52
"A",36,"Completed",0.0968,0.083,0.073,"Full-time",14,FALSE,44780,"$25,000-49,999",3500,103.87
"A",36,"Completed",0.16678,0.1524,0.1424,"Full-time",98,FALSE,44659,"$50,000-74,999",5250,417.4
"A",36,"Completed",0.10943,0.1025,0.0975,"Full-time",0,TRUE,44586,"$50,000-74,999",4166.666667,161.92
"A",36,"Completed",0.12201,0.108,0.098,"Full-time",9,FALSE,44553,"$1-24,999",2000,228.51
"A",36,"Completed",0.08995,0.0831,0.0781,"Self-employed",63,FALSE,44538,"$25,000-49,999",2083.333333,94.44
"A",36,"Completed",0.10486,0.0875,0.0775,"Full-time",23,FALSE,44402,"$50,000-74,999",4535,31.68
"A",36,"Completed",0.09021,0.073,0.063,"Full-time",62,FALSE,44314,"$25,000-49,999",3025,31.01
"A",36,"Defaulted",0.13664,0.1296,0.1246,"Full-time",3,TRUE,44192,"$50,000-74,999",4833.333333,841.87
"A",36,"Completed",0.09577,0.0785,0.0735,"Full-time",8,TRUE,44185,"$50,000-74,999",5166.666667,31.27
"A",36,"Completed",0.14709,0.14,0.135,"Full-time",40,TRUE,44180,"$100,000+",12000,205.07
"A",36,"Completed",0.11822,0.1095,0.0995,"Self-employed",17,FALSE,43741,"$1-24,999",2067.916667,196.29
"A",36,"Completed",0.08718,0.07,0.06,"Full-time",14,FALSE,43598,"$50,000-74,999",4166.666667,30.88
"A",36,"Completed",0.10566,0.0912,0.0812,"Full-time",7,FALSE,43228,"$25,000-49,999",3054.833333,38.23
"A",36,"Chargedoff",0.09086,0.084,0.079,"Full-time",69,TRUE,43173,"$50,000-74,999",4458.333333,198.58
"A",36,"Completed",0.0882,0.0825,0.0725,"Full-time",118,TRUE,43156,"$75,000-99,999",8083.333333,94.36
"A",36,"Completed",0.11394,0.1,0.09,"Full-time",128,TRUE,43097,"$100,000+",15000,387.21
"A",36,"Completed",0.17445,0.16,0.15,"Full-time",47,TRUE,42992,"$100,000+",20000,863.87
"A",36,"Defaulted",0.09579,0.082,0.072,"Full-time",297,TRUE,42986,"$100,000+",9583.333333,188.57
"A",36,"Completed",0.12342,0.1094,0.0994,"Full-time",281,TRUE,42977,"$50,000-74,999",6124.666667,351.77
"A",36,"Completed",0.11394,0.1,0.09,"Full-time",121,FALSE,42963,"$75,000-99,999",6250,145.2
"A",36,"Completed",0.10336,0.0895,0.0795,"Full-time",13,TRUE,42691,"$25,000-49,999",4050,152.53
